dataset,model,pearson_r_WER_BLEU,p,n
lectures,marian,-0.838,0.16179032372249091,4
lectures,mbart,-0.857,0.14304498401001053,4
lectures,nllb,-0.862,0.13770539538640203,4
podcasts,marian,-0.974,0.1456276896610198,3
podcasts,mbart,-0.971,0.15274818719169136,3
podcasts,nllb,-0.985,0.11118770395488435,3
ted_talks,marian,0.012,0.974214759010873,10
ted_talks,mbart,-0.131,0.7174551661041699,10
ted_talks,nllb,-0.114,0.7538003726361331,10
youtube_shorts,marian,-0.004,0.9976103772298647,3
youtube_shorts,mbart,-0.338,0.7803041090542788,3
youtube_shorts,nllb,0.106,0.9323815537744267,3
