dataset,model,metric,mean,std,ci95_lo,ci95_hi,n
lectures,marian,BLEU,30.47,16.09,13.39,45.9,4
lectures,marian,chrF,64.03,11.58,51.27,73.96,4
lectures,marian,TER,82.41,26.78,52.61,104.78,4
lectures,mbart,BLEU,20.4,11.11,8.54,30.7,4
lectures,mbart,chrF,57.81,10.74,45.8,65.71,4
lectures,mbart,TER,122.7,35.34,95.88,161.47,4
lectures,nllb,BLEU,30.02,15.41,13.63,44.05,4
lectures,nllb,chrF,63.56,11.13,51.26,72.98,4
lectures,nllb,TER,82.12,22.99,57.21,102.83,4
podcasts,marian,BLEU,41.56,16.77,17.85,54.12,3
podcasts,marian,chrF,68.77,11.93,51.92,77.94,3
podcasts,marian,TER,53.5,23.32,36.99,86.48,3
podcasts,mbart,BLEU,17.55,9.25,4.47,24.36,3
podcasts,mbart,chrF,53.68,12.73,35.68,62.85,3
podcasts,mbart,TER,193.91,72.59,131.9,295.77,3
podcasts,nllb,BLEU,40.63,17.75,15.63,55.06,3
podcasts,nllb,chrF,67.84,12.32,50.44,77.41,3
podcasts,nllb,TER,66.19,22.57,49.19,98.09,3
ted_talks,marian,BLEU,33.88,7.84,28.9,38.55,10
ted_talks,marian,chrF,69.06,4.29,66.4,71.62,10
ted_talks,marian,TER,64.53,10.91,58.0,71.44,10
ted_talks,mbart,BLEU,16.48,4.09,14.05,18.96,10
ted_talks,mbart,chrF,57.43,4.11,54.97,59.88,10
ted_talks,mbart,TER,158.69,29.18,141.88,177.45,10
ted_talks,nllb,BLEU,34.66,7.04,30.21,38.83,10
ted_talks,nllb,chrF,68.92,3.8,66.77,71.16,10
ted_talks,nllb,TER,62.05,10.77,55.39,69.17,10
youtube_shorts,marian,BLEU,10.98,8.23,1.65,21.68,3
youtube_shorts,marian,chrF,39.1,18.93,14.45,60.47,3
youtube_shorts,marian,TER,137.39,42.44,96.55,195.89,3
youtube_shorts,mbart,BLEU,6.15,5.73,1.65,14.23,3
youtube_shorts,mbart,chrF,29.48,16.18,14.6,51.97,3
youtube_shorts,mbart,TER,292.39,245.35,96.55,638.36,3
youtube_shorts,nllb,BLEU,9.7,7.34,0.74,18.73,3
youtube_shorts,nllb,chrF,37.18,20.02,10.11,57.89,3
youtube_shorts,nllb,TER,138.68,53.87,89.66,213.7,3
