dataset,model,metric,mean,std,ci95_lo,ci95_hi,n
lectures,marian,BLEU,30.47,18.58,12.26,48.68,4
lectures,marian,chrF,64.03,13.37,50.92,77.13,4
lectures,marian,TER,82.41,30.92,52.1,112.71,4
lectures,mbart,BLEU,20.4,12.83,7.83,32.98,4
lectures,mbart,chrF,57.81,12.4,45.66,69.96,4
lectures,mbart,TER,122.7,40.81,82.7,162.69,4
lectures,nllb,BLEU,30.02,17.79,12.58,47.46,4
lectures,nllb,chrF,63.56,12.86,50.96,76.16,4
lectures,nllb,TER,82.12,26.54,56.11,108.13,4
podcasts,marian,BLEU,41.56,20.54,18.31,64.8,3
podcasts,marian,chrF,68.77,14.61,52.24,85.3,3
podcasts,marian,TER,53.5,28.56,21.19,85.82,3
podcasts,mbart,BLEU,17.55,11.33,4.73,30.38,3
podcasts,mbart,chrF,53.68,15.59,36.04,71.32,3
podcasts,mbart,TER,193.91,88.91,93.3,294.52,3
podcasts,nllb,BLEU,40.63,21.74,16.03,65.23,3
podcasts,nllb,chrF,67.84,15.09,50.76,84.92,3
podcasts,nllb,TER,66.19,27.64,34.91,97.47,3
ted_talks,marian,BLEU,33.88,8.27,28.76,39.0,10
ted_talks,marian,chrF,69.06,4.52,66.26,71.86,10
ted_talks,marian,TER,64.53,11.5,57.4,71.66,10
ted_talks,mbart,BLEU,16.48,4.32,13.8,19.15,10
ted_talks,mbart,chrF,57.43,4.33,54.74,60.11,10
ted_talks,mbart,TER,158.69,30.76,139.62,177.76,10
ted_talks,nllb,BLEU,34.66,7.42,30.06,39.26,10
ted_talks,nllb,chrF,68.92,4.0,66.44,71.4,10
ted_talks,nllb,TER,62.05,11.35,55.01,69.09,10
youtube_shorts,marian,BLEU,10.98,10.08,-0.43,22.39,3
youtube_shorts,marian,chrF,39.1,23.18,12.86,65.34,3
youtube_shorts,marian,TER,137.39,51.97,78.57,196.2,3
youtube_shorts,mbart,BLEU,6.15,7.02,-1.79,14.09,3
youtube_shorts,mbart,chrF,29.48,19.82,7.05,51.9,3
youtube_shorts,mbart,TER,292.39,300.49,-47.65,632.43,3
youtube_shorts,nllb,BLEU,9.7,9.0,-0.48,19.88,3
youtube_shorts,nllb,chrF,37.18,24.52,9.44,64.92,3
youtube_shorts,nllb,TER,138.68,65.98,64.02,213.34,3
